id,name,genres,year,countries,directors,actors,duration_minutes,plot,rating_10,rating_9,rating_8,rating_7,rating_6,rating_5,rating_4,rating_3,rating_2,rating_1,processed_rating,poster_path
274,Die My Love,"黑色喜剧,喜剧,惊悚片,戏剧",2025.0,"United States,Canada,United Kingdom",Lynne Ramsay,"Top cast32,Edit,Jennifer Lawrence,Grace,Robert Pattinson",118.0,"In a remote forgotten rural area, a mother struggles to maintain her sanity as she battles with psychosis.",43.5,3.8,6.2,9.0,8.3,4.7,4.6,1.9,2.9,15.0,6.3,data/imdb_posters/274.jpg
275,Eddington,"当代西部片,讽刺,黑色喜剧,喜剧,戏剧,西部片",2025.0,"United States,Finland",Ari Aster,"Top cast75,Edit,Joaquin Phoenix,Joe Cross,Deirdre O'Connell",148.0,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.",7.7,7.6,19.4,25.3,18.1,9.1,4.3,2.4,1.8,4.3,6.7,data/imdb_posters/275.jpg
276,The Threesome,"喜剧,戏剧,爱情片",2025.0,United States,Chad Hartigan,"Top cast34,Edit,Zoey Deutch,Olivia Capitano,Jonah Hauer-King",112.0,"When a young man's crush leads him into an unexpected threesome, he thinks it's his ultimate fantasy come true. But when the fantasy ends, all three are left with sobering consequences, forcing them to be responsible for their actions.",10.0,7.6,15.7,25.2,16.7,5.1,4.2,3.5,1.6,10.4,6.7,data/imdb_posters/276.jpg
277,Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,"剑与魔法,动漫,少年,成人动画,手绘动画,超自然奇幻,黑暗奇幻,冒险,动画,幻想",2025.0,"Japan,United States","Haruo Sotozaki,Hikaru Kondô","Top cast29,Edit,Zach Aguilar,Tanjiro Kamado,Johnny Yong Bosch",155.0,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",63.8,13.7,9.7,4.6,1.7,0.7,0.3,0.2,0.6,4.6,8.7,data/imdb_posters/277.jpg
278,The Long Walk,恐怖,2025.0,United States,Francis Lawrence,"Top cast42,Edit,Cooper Hoffman,Raymond Garraty #47,David Jonsson",108.0,"A group of teenage boys compete in an annual contest known as ""The Long Walk,"" where they must maintain a certain walking speed or get shot.",15.5,14.8,29.2,21.9,9.4,4.0,0.8,1.4,0.8,2.2,7.6,data/imdb_posters/278.jpg
279,Nosferatu,"吸血鬼恐怖片,民间恐怖片,超自然恐怖,黑暗奇幻,幻想,恐怖,推理片",2024.0,United States,Robert Eggers,"Top cast36,Edit,Lily-Rose Depp,Ellen Hutter,Nicholas Hoult",132.0,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",8.5,11.6,25.7,25.6,14.0,6.4,3.0,1.8,1.2,2.1,7.2,data/imdb_posters/279.jpg
280,Father Mother Sister Brother,"喜剧,戏剧",2025.0,"United States,Italy,France,Ireland,Germany",Jim Jarmusch,"Top cast10,Edit,Mayim Bialik,Emily,Cate Blanchett",110.0,"Estranged siblings reunite after years apart, forced to confront unresolved tensions and reevaluate their strained relationships with their emotionally distant parents",27.7,6.7,12.6,17.2,10.9,3.4,2.1,2.1,3.4,13.9,6.7,data/imdb_posters/280.jpg
281,Wuthering Heights,"戏剧,爱情片",2026.0,"United States,United Kingdom",Emerald Fennell,"Top cast11,Edit,Jacob Elordi,Heathcliff,Margot Robbie",,"A passionate and tumultuous love story set against the backdrop of the Yorkshire moors, exploring the intense and destructive relationship between Heathcliff and Catherine Earnshaw.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,data/imdb_posters/281.jpg
282,The Home,"恐怖,惊悚片",2025.0,United States,James DeMonaco,"Top cast34,Edit,Pete Davidson,Max,John Glover",95.0,"Follows Max, who realizes that the residents and caretakers in the retirement home he started working at hide sinister secrets.",7.2,2.6,9.5,16.8,21.4,17.5,8.6,5.8,3.8,6.7,5.5,data/imdb_posters/282.jpg
283,Heretic,"心理恐怖片,心理惊悚片,恐怖,惊悚片",2024.0,"United States,Canada","Scott Beck,Bryan Woods","Top cast15,Edit,Hugh Grant,Mr. Reed,Sophie Thatcher",111.0,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,5.2,7.0,22.9,36.0,17.6,6.2,2.2,1.1,0.6,1.2,7.0,data/imdb_posters/283.jpg
